Date,Time,Open,High,Low,Close,Volume

08/26/1998,09:33,4.6432,4.6432,4.6432,4.6432,8650
08/26/1998,09:35,4.6432,4.6432,4.6432,4.6432,1696
08/26/1998,09:45,4.6432,4.6432,4.6432,4.6432,2714
08/26/1998,09:49,4.6432,4.6432,4.6432,4.6432,16960
08/26/1998,09:51,4.6063,4.6063,4.6063,4.6063,1696
08/26/1998,09:53,4.6063,4.6063,4.6063,4.6063,339
08/26/1998,09:56,4.6432,4.6432,4.6432,4.6432,1187
08/26/1998,09:57,4.6063,4.6063,4.6063,4.6063,2205
08/26/1998,10:00,4.5695,4.5695,4.5695,4.5695,1696
08/26/1998,10:06,4.5695,4.5695,4.5695,4.5695,2374
08/26/1998,10:07,4.5695,4.5695,4.5695,4.5695,4410
08/26/1998,10:10,4.5695,4.5695,4.5695,4.5695,3053
08/26/1998,10:30,4.5695,4.5695,4.5695,4.5695,170
08/26/1998,10:36,4.6063,4.6063,4.6063,4.6063,339
08/26/1998,10:53,4.5695,4.5695,4.5695,4.5695,3562
08/26/1998,11:00,4.5695,4.5695,4.5695,4.5695,339
08/26/1998,11:08,4.5695,4.5695,4.5695,4.5695,1696
08/26/1998,11:21,4.5695,4.5695,4.5695,4.5695,509
08/26/1998,11:31,4.5695,4.5695,4.5695,4.5695,1696
08/26/1998,11:51,4.5326,4.5326,4.5326,4.5326,1187
08/26/1998,11:55,4.5326,4.5326,4.5326,4.5326,1696
08/26/1998,11:57,4.5326,4.5326,4.5326,4.5326,170
08/26/1998,12:07,4.5326,4.5326,4.5326,4.5326,678
08/26/1998,12:08,4.5326,4.5326,4.5326,4.5326,848
08/26/1998,12:14,4.5695,4.5695,4.5695,4.5695,3901
08/26/1998,12:20,4.4958,4.4958,4.4958,4.4958,170
08/26/1998,12:36,4.5695,4.5695,4.5695,4.5695,1696
08/26/1998,12:41,4.5695,4.5695,4.5695,4.5695,170
08/26/1998,12:49,4.4958,4.4958,4.4958,4.4958,848
08/26/1998,12:51,4.5326,4.5326,4.5326,4.5326,678
08/26/1998,13:04,4.5326,4.5326,4.5326,4.5326,3392
08/26/1998,13:05,4.5695,4.5695,4.5695,4.5695,509
08/26/1998,13:28,4.5695,4.5695,4.5695,4.5695,170
08/26/1998,14:00,4.4958,4.4958,4.4958,4.4958,509
08/26/1998,14:03,4.4589,4.4589,4.4589,4.4589,3392
08/26/1998,14:05,4.5326,4.5326,4.5326,4.5326,170
08/26/1998,14:18,4.4958,4.4958,4.4958,4.4958,6784
08/26/1998,14:21,4.4958,4.4958,4.4958,4.4958,1187
08/26/1998,15:00,4.5326,4.5326,4.5326,4.5326,339
